b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN),fgs
323,323,4.38,969,262,41.1,4830,
324,324,4.38,972,262,80.3,7481,
144,144,6.36,432,618,25.4,2572,
144,144,6.36,432,618,40.5,2808,
144,144,6.36,432,618,40.5,2765,
144,144,6.36,432,618,77,3399,
211,211,6.36,633,618,25.4,3920,
211,211,6.36,633,618,40.5,4428,
211,211,6.36,633,618,40.5,4484,
211,211,6.36,633,618,77,5758,
319,319,6.36,957,618,25.4,6320,
319,319,6.36,957,618,41.1,7780,
318,318,6.36,954,618,41.1,7473,
319,319,6.36,957,618,85.1,10357,
120,120,6.47,360,835,25.4,2819,
120,120,6.47,360,835,40.5,2957,
120,120,6.47,360,835,40.5,2961,
119,119,6.47,357,835,77,3318,
175,175,6.47,525,835,25.4,4210,
175,175,6.47,525,835,40.5,4493,
175,175,6.47,525,835,40.5,4542,
175,175,6.47,525,835,77,5366,
265,265,6.47,795,835,25.4,6546,
264,264,6.47,792,835,41.1,7117,
265,265,6.47,795,835,41.1,7172,
265,265,6.47,795,835,80.3,8990,
210,210,5.48,630,294,39.1,3183,
211,211,5.48,633,294,91.1,4773,
210,210,4.5,630,277,39.1,2713,
211,211,4.5,633,277,91.1,4371,
211,211,8.83,633,536,39.1,5898,
211,211,8.83,633,536,91.1,7008,
204,204,5.95,612,540,39.1,4026,
204,204,5.95,612,540,91.1,5303,
180,180,9.45,540,825,39.1,6803,
180,180,9.45,540,825,91.1,7402,
180,180,6.6,540,824,39.1,5028,
180,180,6.6,540,824,91.1,5873,
200,200,2.5,1190,270,58.3,2260,
200,200,2.5,2340,270,58.3,2305,
100,100,1.9,300,404,121.6,1209,
100,100,1.9,300,404,121.6,1220,
100,100,1.9,300,404,121.6,1190,
100,100,1.9,300,404,121.6,1220,
100,100,1.9,900,404,121.6,1013,
100,100,1.9,900,404,121.6,1010,
100,100,1.9,1500,404,121.6,915,
100,100,1.9,1500,404,121.6,945,
100,100,1.9,3000,404,121.6,474,
100,100,1.9,3000,404,121.6,466,
150,150,3,675,324.4,52.6,1516,
150,150,3,900,324.4,52.6,1599,
249.6,249.6,3.7,750,324.3,40.4,3131,
251,251,3.75,750,324.3,40.4,2832,
251.1,251.1,3.73,750,324.3,40.4,2677,
70,70,5,210,701,21,1367,
100,100,5,300,701,21,1934,
125,125,5,375,701,21,2348,
150,150,5,450,701,21,2828,
110,110,5,330,701,54.5,2203,
110,110,5,330,701,54.5,2234,
140,140,5,420,701,54.5,2942,
140,140,5,420,701,54.5,2840,
170,170,5,510,701,54.5,3118,
170,170,5,510,701,54.5,3243,
180,180,5,570,701,54.5,3882,
180,180,5,570,701,54.5,3856,
101,203,8.28,607,488.38,43.2,3090,
102,203,8.28,60,488.38,55.3,3230,
119,183,8.28,541,488.38,43.2,3300,
122,182,8.28,541,488.38,55.3,3380,
150,150,8.28,453,488.38,43.2,3500,
150,152,8.28,451,488.38,55.3,3575,
100,120,5.7,361,514.53,43.2,1960,
100,120,5.7,360,514.53,55.3,2100,
121,182,5.7,540,514.53,43.2,2485,
122,181,5.7,540,514.53,55.3,2710,
103,121,7.69,363,423.2,43.2,2545,
101,120,7.69,358,423.2,55.3,2730,
119,179,7.69,542,423.2,43.2,3130,
120,180,7.69,545,423.2,55.3,3150,
101.6,101.6,3,1000,483.9,25,718.88,
101.6,101.6,3,1500,483.9,25,691.38,
101.6,101.6,3,2000,483.9,25,589.48,
101.6,101.6,3,2500,483.9,25,471.29,
120,120,3.5,1000,401,25,1164.16,
120,120,3.5,1500,401,25,997.19,
120,120,3.5,2000,401,25,899.65,
120,120,3.5,2500,401,25,729.1,
150,150,3.5,1000,405,25,1516.26,
150,150,3.5,1500,405,25,1330.13,
150,150,3.5,2000,405,25,1307.61,
150,150,3.5,2500,405,25,1198.25,
60,60,3,2700,351.51,28.8,105.4,
60,60,4,2700,528.55,28.8,127.7,
60,60,4.5,2700,522.11,28.8,156,
63,63,3,2700,442.69,28.8,123.6,
63,63,4,2700,517.49,28.8,154.7,
63,63,4.5,2700,449.95,28.8,168.6,
76,76,3,2700,441.12,28.8,212,
76,76,4,2700,498.38,28.8,247.3,
76,76,4.5,2700,500.97,28.8,266.5,
100,100,3,2700,441.19,28.8,405,
100,100,4.5,2700,424.49,28.8,501.71,
120,120,3,2700,400.77,28.8,770.39,
120,120,4.5,2700,436.54,28.8,830,
150,150,3,2700,429.14,28.8,1087.1,
150,150,4.5,2700,334.8,28.8,1285.1,
73.93,73.93,4.89,1512,762,113,1732,
73.84,73.84,4.89,1512,762,113,1362,
73.6,73.6,4.96,1512,762,113,1572,
98.87,98.87,4.93,1512,762,113,2087,
98.89,98.89,4.92,1512,762,113,2109,
99.29,99.29,4.89,1512,762,113,2374,
124.12,124.12,4.93,1512,762,113,3748,
124.39,124.39,4.89,1512,762,113,3560,
124.05,124.05,4.93,1512,762,113,2799,
74.36,74.36,4.9,2512,762,113,583,
74.44,74.44,4.94,2512,762,113,878,
75.08,75.08,4.92,2512,762,113,594,
99.95,99.95,4.9,2512,762,113,1377,
100,100,4.93,2512,762,113,1049,
99.37,99.37,4.91,2512,762,113,1235,
124.6,124.6,4.93,2512,762,113,2823,
125.09,125.09,4.89,2512,762,113,2546,
124.54,124.54,4.92,2512,762,113,2522,
149.72,149.72,4.94,2512,762,113,3938,
149.96,149.96,4.91,2512,762,113,3739,
150.31,150.31,4.92,2512,762,113,3988,
199.62,199.62,4.95,2512,762,113,6141,
199.5,199.5,4.92,2512,762,113,6004,
199.78,199.78,4.92,2512,762,113,6329,
74.41,74.41,4.95,3512,762,113,469,
73.95,73.95,4.97,3512,762,113,286,
74.16,74.16,4.89,3512,762,113,410,
98.99,98.99,4.95,3512,762,113,810,
99.4,99.4,4.92,3512,762,113,851,
99.51,99.51,4.92,3512,762,113,761,
124.41,124.41,4.92,3512,762,113,1535,
124.24,124.24,4.92,3512,762,113,1196,
124.4,124.4,4.95,3512,762,113,1539,
149.33,149.33,4.93,3512,762,113,4142,
148.88,148.88,4.93,3512,762,113,2303,
149.92,149.92,4.93,3512,762,113,2556,
199.84,199.84,4.93,3512,762,113,5002,
199.59,199.59,4.92,3512,762,113,5896,
200.67,200.67,4.93,3512,762,113,5052,
74.04,74.04,4.91,285,762,100,1636,
72.87,72.87,4.88,285,762,100,1755,
99.56,99.56,4.91,360,762,100,2520,
99.2,99.2,4.93,360,762,100,2632,
124.43,124.43,4.93,435,762,100,3023,
124.94,124.94,4.94,435,762,100,2962,
149.99,149.99,4.92,510,762,100,4115,
149.87,149.87,4.92,510,762,100,3968,
149.77,149.77,4.93,1514,762,113,5164,
149.37,149.37,4.94,1514,762,113,4833,
149.58,149.58,4.95,1514,762,113,5085,
199.01,199.01,4.92,660,762,113,5184,
198.71,198.71,4.92,660,762,113,5604,
198.92,198.92,4.91,1514,762,113,7478,
198.99,198.99,4.92,1514,762,113,7506,
198.96,198.96,4.94,1514,762,113,6460,
186,186,3,540,300,32,1555,
126,126,3,360,300,50,1114,
120,120,5,430,761,20.34,1835,
170,170,5,580,761,20.34,2831,
220,220,5,730,761,20.34,3609,
270,270,5,880,761,20.34,3950,
65,65,3,250,350,79,502,
75,75,3,250,370,79,684,
75,65,3,250,370,52,568,
65,75,3,250,350,52,434,
75,75,3,1770,450,79,414,
65,75,3,1770,400,79,294,
75,65,3,1770,450,52,343,
65,75,3,1770,400,52,269,
150,150,8,450,779,152.3,6536,
150,150,8,450,779,157.2,6715,
150,150,8,450,779,147,6616,
150,150,8,450,779,164.1,7276,
150,150,8,450,779,148,6974,
150,150,12,450,756,152.3,8585,
150,150,12,450,756,157.2,8452,
150,150,12,450,756,147,8687,
150,150,12,450,756,164.1,8730,
150,150,12,450,756,148,8912,
150,150,12.5,450,446,152.3,5953,
150,150,12.5,450,446,157.2,5911,
150,150,12.5,450,446,147,6039,
150,150,12.5,450,446,164.1,6409,
150,150,12.5,450,446,148,6285,
197,197,6.4,600,437.88,26.58,2730,
198.5,198.5,6.1,600,437.88,25.81,3010,
200.5,200.5,6.3,600,437.88,24.47,2830,
201,201,10.3,600,381.68,26.58,3980,
201,201,10,600,381.68,25.81,3920,
199.5,199.5,10.1,600,381.68,24.47,3900,
100,150,4.5,1855,379.8,29,1344.8,
100,150,4.5,1855,379.8,29,1281.3,
100,150,4.5,1855,379.8,29,1320.2,
100,150,4.5,1855,379.8,29,1367.6,
100,150,4.5,1855,379.8,63,1756.1,
100,150,4.5,1855,379.8,63,1702.8,
100,150,4.5,1855,379.8,63,1762.7,
100,150,4.5,1855,379.8,63,1737.5,
100,150,4.5,1855,379.8,63,1669.2,
100,150,4.5,1855,379.8,63,1705.8,
100,150,4.5,1855,379.8,70,1894.6,
100,150,4.5,1855,379.8,70,1889.2,
100,150,4.5,1855,379.8,70,1885.6,
100,150,4.5,1855,379.8,70,1891.6,
100,150,4.5,1855,379.8,70,1862.3,
100,150,4.5,1855,379.8,70,1889.8,
100,150,4.5,1855,379.8,84,2066.1,
100,150,4.5,1855,379.8,84,2196.4,
100,150,4.5,1855,379.8,84,2096.1,
100,150,4.5,1855,379.8,84,2090.1,
100,150,4.5,1855,379.8,84,2006.7,
100,150,4.5,1855,379.8,84,2083.5,
150,150,8,450,779,152.3,6536,
150,150,8,450,779,157.2,6715,
150,150,8,450,779,147,6616,
150,150,8,450,779,164.1,7276,
150,150,8,450,779,148,6974,
150,150,12,450,756,152.3,8585,
150,150,12,450,756,157.2,8452,
150,150,12,450,756,147,8687,
150,150,12,450,756,164.1,8730,
150,150,12,450,756,148,8912,
150,150,12.5,450,446,152.3,5953,
150,150,12.5,450,446,157.2,5911,
150,150,12.5,450,446,147,6039,
150,150,12.5,450,446,164.1,6409,
150,150,12.5,450,446,148,6285,
100.4,100.4,2.07,300,348.7,59,987,
100.4,100.4,2.03,300,348.7,113.2,1406,
100.4,100.4,2.05,300,348.7,130.8,1575,
100.4,100.4,3.79,300,306.7,59,1138,
100.3,100.3,3.83,300,306.7,113.2,1544,
100.4,100.4,3.79,300,306.7,130.8,1676,
100.7,100.7,7.6,300,371.6,59,1647,
100.7,100.7,7.59,300,371.6,113.2,1976,
100.7,100.7,7.63,300,371.6,130.8,2051,
125,125,4,300,342.59,46.67,1159.2,
125,125,4,300,342.59,94.33,1882.5,
100,150,4,300,270.84,40.41,912,
100,150,4,300,270.84,90.58,1188.5,
125,125,3,300,296.06,46.67,824.5,
125,125,3,300,296.06,94.31,1441.2,
200,200,6,695,485,38,3488,
200,200,6,695,485,38,3452,
200,200,6,695,485,80.5,4921,
200,200,6,695,485,80.5,4973,
200,200,6,695,485,112.1,6060,
200,200,6,695,485,112.1,6298,
200,200,6,695,485,112.1,6218,
126,126,3,300,300,40,950,
156,156,3,300,300,50,1300,
186,186,3,300,300,32,1200,
246,246,3,300,300,38,2200,
306,306,3,300,300,38,2519,
126,126,3,360,300,50,1114,
156,156,3,450,300,50,1708,
186,186,3,540,300,32,1555,
246,246,3,720,300,38,3095,
306,306,3,900,300,38,4000,
306,306,3,900,300,38,4253,
306,306,3,900,300,38,4495,
306,306,3,900,300,38,4581,
250,250,2.5,750,338,25.5,1993,
250,250,2.5,750,338,25.5,2020,
250,250,2.5,750,338,50.8,3190,
250,250,2.5,750,338,51.2,3150,
250,250,2.5,750,342,67,4080,
250,250,2.5,750,342,67,4040,
190,190,2.5,570,342,67,2480,
190,190,2.5,570,342,67,2430,
250,250,2.5,750,270,58.3,3495,
190,190,2.5,570,270,58.3,2140,
249,250.4,2.5,750,234.3,50.1,3409,
128.2,129.1,2.5,390,234.3,54.8,1150,
120,120,8,3000,379,80,1610,
120,120,5,500,304,47,1440,
120,120,5,500,438,46,1690,
120,120,5,500,327,96,2040,
120,120,5,500,439,96,2240,
120,120,8,500,323,39,1550,
120,120,8,500,300,46,1670,
120,120,8,500,376,47,1990,
120,120,8,500,323,103,2270,
120,120,8,500,379,103,2680,
120,120,8,500,379,39,1800,
120,120,8,500,390,80,2300,
120,120,8,500,379,80,2290,
120,120,8,500,404,92,1380,
150.3,149.9,1.98,399.5,413,56,2046,
150.1,149.8,2,400.1,413,56,2200,
150.2,150.2,2.98,401,392,56,2360,
150.4,150,3,400.6,392,56,2300,
200.3,100.5,1.98,400,413,56,1980,
200.5,100.5,2.97,402,392,56,2160,
300,300,6,1050,414,10,3428,
400,400,6,1400,414,10,4452,
300,300,6,1050,369,40,6298,
400,400,6,1400,369,40,8802,
60,60,1.87,180,282,81,382,
60,60,1.87,180,282,81,350,
100,100,1.87,300,282,81,860,
100,100,1.87,300,282,81,840,
150,150,1.87,450,282,81,1662,
150,150,1.87,450,282,81,1740,
200,200,1.87,600,282,81,2890,
200,200,1.87,600,282,81,2920,
250,250,1.87,750,282,60,3304,
250,250,1.87,750,282,60,3400,
60,60,2,180,404,50.9,318,
60,60,2,180,404,50.9,322,
100,100,2,300,404,50.9,770,
100,100,2,300,404,50.9,772,
150,150,2,450,404,50.9,1300,
150,150,2,450,404,50.9,1420,
200,200,2,600,404,50.9,1990,
200,200,2,600,404,50.9,2054,
250,250,2,750,404,50.9,3100,
250,250,2,750,404,50.9,2965,
60,60,2,180,404,81,422,
60,60,2,180,404,81,406,
150,150,2,450,404,81,2060,
150,150,2,450,404,81,1980,
110,110,5,330,750,28,1836,
110,110,5,330,750,28,1832,
160,160,5,330,750,30,2868,
160,160,5,330,750,30,2922,
160,160,5,330,750,30,2242,
210,210,5,330,750,32,3710,
210,210,5,330,750,32,3483,
210,210,5,330,750,32,2520,
100,100,4.9,300,668.8,89.2,1800.3,
100,100,4.9,300,668.8,100.3,2003.8,
100,100,5.8,300,646.2,100.3,2220.5,
100,100,5.8,300,646.2,111.3,2391.2,
100,100,5.8,300,646.2,128.1,2573.3,
100,100,6.8,300,599.5,89.2,2209.4,
100,100,6.8,300,599.5,100.3,2294.7,
100,100,6.8,300,599.5,111.3,2368.9,
100,100,6.8,300,599.5,128.1,2492.1,
100,100,10,300,458.6,89.2,2206.1,
100,100,10,300,458.6,111.3,2297.7,
100,100,10,300,458.6,128.1,2498.5,
100,100,14.2,300,468.6,89.2,3106.7,
100,100,14.2,300,468.6,111.3,3119.5,
100,100,14.2,300,468.6,128.1,3274.3,
100,100,18.5,300,444.6,128.1,3441.4,
