b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN)
150.00,150.00,1.87,450.00,282.00,81.00,1740.00
200.00,200.00,1.87,600.00,282.00,81.00,2890.00
200.00,200.00,1.87,600.00,282.00,81.00,2920.00
250.00,250.00,1.87,750.00,282.00,60.00,3304.00
250.00,250.00,1.87,750.00,282.00,60.00,3400.00
60.00,60.00,2.00,180.00,404.00,50.90,318.00
60.00,60.00,2.00,180.00,404.00,50.90,322.00
100.00,100.00,2.00,300.00,404.00,50.90,770.00
100.00,100.00,2.00,300.00,404.00,50.90,772.00
150.00,150.00,2.00,450.00,404.00,50.90,1300.00
150.00,150.00,2.00,450.00,404.00,50.90,1420.00
200.00,200.00,2.00,600.00,404.00,50.90,1990.00
200.00,200.00,2.00,600.00,404.00,50.90,2054.00
250.00,250.00,2.00,750.00,404.00,50.90,3100.00
250.00,250.00,2.00,750.00,404.00,50.90,2965.00
60.00,60.00,2.00,180.00,404.00,81.00,422.00
60.00,60.00,2.00,180.00,404.00,81.00,406.00
150.00,150.00,2.00,450.00,404.00,81.00,2060.00
150.00,150.00,2.00,450.00,404.00,81.00,1980.00
110.00,110.00,5.00,330.00,750.00,28.00,1836.00
110.00,110.00,5.00,330.00,750.00,28.00,1832.00
160.00,160.00,5.00,330.00,750.00,30.00,2868.00
160.00,160.00,5.00,330.00,750.00,30.00,2922.00
160.00,160.00,5.00,330.00,750.00,30.00,2242.00
210.00,210.00,5.00,330.00,750.00,32.00,3710.00
210.00,210.00,5.00,330.00,750.00,32.00,3483.00
210.00,210.00,5.00,330.00,750.00,32.00,2520.00
100.00,100.00,4.90,300.00,668.80,89.20,1800.30
100.00,100.00,4.90,300.00,668.80,100.30,2003.80
100.00,100.00,5.80,300.00,646.20,100.30,2220.50
100.00,100.00,5.80,300.00,646.20,111.30,2391.20
100.00,100.00,5.80,300.00,646.20,128.10,2573.30
100.00,100.00,6.80,300.00,599.50,89.20,2209.40
100.00,100.00,6.80,300.00,599.50,100.30,2294.70
100.00,100.00,6.80,300.00,599.50,111.30,2368.90
100.00,100.00,6.80,300.00,599.50,128.10,2492.10
100.00,100.00,10.00,300.00,458.60,89.20,2206.10
100.00,100.00,10.00,300.00,458.60,111.30,2297.70
100.00,100.00,10.00,300.00,458.60,128.10,2498.50
100.00,100.00,14.20,300.00,468.60,89.20,3106.70
100.00,100.00,14.20,300.00,468.60,111.30,3119.50
100.00,100.00,14.20,300.00,468.60,128.10,3274.30
100.00,100.00,18.50,300.00,444.60,128.10,3441.40
